ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,ACTUAL_SEQ_NO,AMOUNT_VOLUME,UNIT_VOLUME,VALUE_TYPE_VOLUME,METHOD_ID_VOLUME,AMOUNT_RATE,UNIT_RATE,VALUE_TYPE_RATE,METHOD_ID_RATE,START_DATE,END_DATE
AKDNR,2016,212648,1922,1,1190479,1,1,1,,,,,01/01,01/31
AKDNR,2016,39797,842,10,65599000,1,1,1,,,,,10/01,10/31
AKDNR,2016,42925,221,6,105296000,1,1,1,,,,,06/01,06/30
AKDNR,2016,42925,221,7,118153000,1,1,1,,,,,07/01,07/31
AKDNR,2016,42925,221,8,147508000,1,1,1,,,,,08/01,08/31
AKDNR,2016,42925,221,9,133077000,1,1,1,,,,,09/01,09/30
AKDNR,2016,42925,221,10,133965000,1,1,1,,,,,10/01,10/31
AKDNR,2016,42925,221,11,87154000,1,1,1,,,,,11/01,30/01
AKDNR,2016,42925,221,12,90907000,1,1,1,,,,,12/01,12/31
AKDNR,2017,42925,221,1,149188000,1,1,1,,,,,01/01,01/31
AKDNR,2017,42925,221,2,221447000,1,1,1,,,,,02/01,02/28
AKDNR,2017,42925,221,3,210422000,1,1,1,,,,,03/01,03/31
AKDNR,2017,42925,221,4,124265000,1,1,1,,,,,04/01,04/30
AKDNR,2017,42925,221,5,125775000,1,1,1,,,,,05/01,05/31
AKDNR,2017,42925,221,6,108491000,1,1,1,,,,,06/01,06/30
AKDNR,2017,42925,221,7,136070000,1,1,1,,,,,07/01,07/31
AKDNR,2017,42925,221,8,186980000,1,1,1,,,,,08/01,08/31
AKDNR,2017,42925,221,9,189357000,1,1,1,,,,,09/01,09/30
AKDNR,2017,42925,221,10,183003000,1,1,1,,,,,10/01,10/31
AKDNR,2017,42925,221,11,104606000,1,1,1,,,,,11/01,30/01
AKDNR,2017,42925,221,12,86560000,1,1,1,,,,,12/01,12/31
AKDNR,2016,19238,302,6,15652715,1,1,1,,,,,06/01,06/30
AKDNR,2016,19238,302,7,16784930,1,1,1,,,,,07/01,07/31
AKDNR,2016,19238,302,8,17029031,1,1,1,,,,,08/01,08/31
AKDNR,2016,19238,302,9,17029031,1,1,1,,,,,09/01,09/30
AKDNR,2016,19238,302,10,15377056,1,1,1,,,,,10/01,10/31
AKDNR,2016,19238,302,11,14259097,1,1,1,,,,,11/01,30/01
AKDNR,2016,19238,302,12,15496786,1,1,1,,,,,12/01,12/31
AKDNR,2017,19238,302,1,12078867,1,1,1,,,,,01/01,01/31
AKDNR,2017,19238,302,2,12078867,1,1,1,,,,,02/01,02/28
AKDNR,2017,19238,302,3,11580810,1,1,1,,,,,03/01,03/31
AKDNR,2017,19238,302,4,12772890,1,1,1,,,,,04/01,04/30
AKDNR,2017,20178,2622,5,14868096,1,1,1,,,,,05/01,05/31
AKDNR,2017,20178,2622,6,15076576,1,1,1,,,,,06/01,06/30
AKDNR,2017,29486,2285,4,16005760,1,1,1,,,,,04/01,04/30
AKDNR,2016,29976,407,6,1240070,1,2,1,,,,,06/01,06/30
AKDNR,2016,29976,407,7,1650320,1,2,1,,,,,07/01,07/31
AKDNR,2016,29976,407,8,939030,1,2,1,,,,,08/01,08/31
AKDNR,2016,29976,407,9,336260,1,2,1,,,,,09/01,09/30
AKDNR,2016,29976,407,10,346700,1,2,1,,,,,10/01,10/31
AKDNR,2016,29976,407,11,303750,1,2,1,,,,,11/01,30/01
AKDNR,2016,29976,407,12,324300,1,2,1,,,,,12/01,12/31
AKDNR,2017,29976,407,1,349300,1,2,1,,,,,01/01,01/31
AKDNR,2017,29976,407,2,229250,1,2,1,,,,,02/01,02/28
AKDNR,2017,29976,407,3,492000,1,2,1,,,,,03/01,03/31
AKDNR,2017,29976,407,4,311950,1,2,1,,,,,04/01,04/30
AKDNR,2017,29976,407,5,250250,1,2,1,,,,,05/01,05/31
AKDNR,2017,29976,407,6,821500,1,2,1,,,,,06/01,06/30
AKDNR,2017,29976,407,7,683500,1,2,1,,,,,07/01,07/31
AKDNR,2017,29976,407,8,334250,1,2,1,,,,,08/01,08/31
AKDNR,2017,29976,407,9,242500,1,2,1,,,,,09/01,09/30
AKDNR,2017,29976,407,10,235500,1,2,1,,,,,10/01,10/31
AKDNR,2017,29976,407,11,198650,1,1,1,,,,,11/01,30/01
AKDNR,2017,29976,407,12,213500,1,2,1,,,,,12/01,12/31
AKDNR,2016,3260,1902,12,466.9,1,2,1,,,,,12/01,12/31
AKDNR,2017,3260,1902,1,353.22,1,1,1,,,,,01/01,01/31
AKDNR,2017,3260,1902,2,426.3,1,1,1,,,,,02/01,02/28
AKDNR,2017,3260,1902,3,1374.31,1,1,1,,,,,03/01,03/31
AKDNR,2016,3261,2062,12,3272.72,1,1,1,,,,,12/01,12/31
AKDNR,2016,3261,2061,12,1555.2,1,1,1,,,,,12/01,12/31
AKDNR,2016,3261,1882,12,133297.3,1,1,1,,,,,12/01,12/31
AKDNR,2017,3261,1882,1,131837.84,1,1,1,,,,,01/01,01/31
AKDNR,2017,3261,1882,2,95351.35,1,1,1,,,,,02/01,02/28
AKDNR,2017,3261,1882,3,154216.22,1,1,1,,,,,03/01,03/31
AKDNR,2016,A2014-102,401,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-102,401,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-102,401,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-102,401,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-102,401,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-102,401,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-102,401,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-102,401,11,0,1,1,1,,,,,11/01,30/01
AKDNR,2016,A2014-102,401,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-102,401,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-102,401,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-102,401,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-102,401,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-102,401,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-102,401,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-102,401,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-102,401,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-102,401,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-102,401,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,405,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,403,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,404,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2014-143,405,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,403,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,404,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2014-143,405,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,403,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,404,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2014-143,405,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,403,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,404,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2014-143,405,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,403,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,404,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2014-143,405,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,403,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,404,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2014-143,405,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,403,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,404,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2014-143,405,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,403,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,404,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2014-143,405,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2014-143,403,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2014-143,404,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,405,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,403,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,404,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2014-143,405,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,403,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,404,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2014-143,405,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,403,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,404,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2014-143,405,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,403,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,404,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2014-143,405,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,403,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,404,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2014-143,405,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,403,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,404,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2014-143,405,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,403,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,404,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2014-143,405,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,403,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,404,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2014-143,405,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,403,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,404,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2014-143,405,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,403,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,404,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2017,A2014-143,405,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2014-143,403,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2014-143,405,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,403,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2014-143,404,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2018,A2014-143,404,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2017,A2015-116,2304,4,0,1,1,1,,,,,04/01,04/30
AKDNR,2017,A2015-116,2304,5,0,1,1,1,,,,,05/01,05/31
AKDNR,2017,A2015-116,2304,6,0,1,1,1,,,,,06/01,06/30
AKDNR,2016,A2016-53,2069,9,1678,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-53,1102,9,7351,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-53,1104,9,7351,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2016-96,1400,9,1178000,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,428,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,429,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,426,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,424,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,425,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-70,428,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,429,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,426,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,424,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,425,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-70,428,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,429,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,426,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,424,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,425,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-70,428,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,429,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,426,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,424,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,425,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-70,428,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,429,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,426,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,424,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,425,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-70,428,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,429,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,426,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,424,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,425,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-70,428,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,429,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,426,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,424,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,425,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-70,428,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,429,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,426,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,424,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,425,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-70,428,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,429,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,426,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,424,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2016,A2012-70,425,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2012-70,428,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,429,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,426,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,424,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,425,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-70,428,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,429,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,426,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,424,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,425,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-70,428,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,429,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,426,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,424,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,425,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-70,428,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,429,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,424,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,425,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-70,428,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,429,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,426,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,424,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,425,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-70,428,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,429,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,426,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,424,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,425,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-70,428,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,429,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,426,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,424,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,425,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-70,428,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,429,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,426,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,424,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,425,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-70,428,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,429,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,426,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,424,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2017,A2012-70,425,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-71,422,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-71,422,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-71,422,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-71,422,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2016,A2012-71,422,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2016,A2012-71,422,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-71,422,10,0,1,2,1,,,,,10/01,10/31
AKDNR,2016,A2012-71,422,11,0,1,2,1,,,,,11/01,30/01
AKDNR,2016,A2012-71,422,12,0,1,2,1,,,,,12/01,12/31
AKDNR,2017,A2012-71,422,1,0,1,2,1,,,,,01/01,01/31
AKDNR,2017,A2012-71,422,2,0,1,2,1,,,,,02/01,02/28
AKDNR,2017,A2012-71,422,3,0,1,2,1,,,,,03/01,03/31
AKDNR,2017,A2012-71,422,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2017,A2012-71,422,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2017,A2012-71,422,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2017,A2012-71,422,7,0,1,2,1,,,,,07/01,07/31
AKDNR,2017,A2012-71,422,8,0,1,2,1,,,,,08/01,08/31
AKDNR,2017,A2012-71,422,9,0,1,2,1,,,,,09/01,09/30
AKDNR,2016,A2012-72,357,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,355,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,358,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,354,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,356,4,0,1,2,1,,,,,04/01,04/30
AKDNR,2016,A2012-72,357,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,355,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,358,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,354,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,356,5,0,1,2,1,,,,,05/01,05/31
AKDNR,2016,A2012-72,357,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,355,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,358,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,354,6,0,1,2,1,,,,,06/01,06/30
AKDNR,2016,A2012-72,356,6,0,1,2,1,,,,,06/01,06/30
