ORGANIZATION_ID,REPORT_ID,ALLOCATION_ID,DETAIL_SEQ_NO,BENEFICIAL_USE_ID
AKDNR,2016,3260,1902,6
AKDNR,2017,3260,1902,6
AKDNR,2016,3261,1882,6
AKDNR,2016,3261,2061,6
AKDNR,2016,3261,2062,6
AKDNR,2017,3261,1882,6
AKDNR,2016,19238,302,2
AKDNR,2017,19238,302,2
AKDNR,2017,20178,2622,3
AKDNR,2017,29486,2285,4
AKDNR,2016,29976,407,5
AKDNR,2017,29976,407,5
AKDNR,2016,39797,842,1
AKDNR,2016,42925,221,1
AKDNR,2017,42925,221,1
AKDNR,2016,212648,1922,1
AKDNR,2016,A2012-70,424,5
AKDNR,2016,A2012-70,425,5
AKDNR,2016,A2012-70,426,5
AKDNR,2016,A2012-70,428,5
AKDNR,2016,A2012-70,429,5
AKDNR,2017,A2012-70,424,5
AKDNR,2017,A2012-70,425,5
AKDNR,2017,A2012-70,426,5
AKDNR,2017,A2012-70,428,5
AKDNR,2017,A2012-70,429,5
AKDNR,2016,A2012-71,422,5
AKDNR,2017,A2012-71,422,5
AKDNR,2016,A2012-72,354,5
AKDNR,2016,A2012-72,355,5
AKDNR,2016,A2012-72,356,5
AKDNR,2016,A2012-72,357,5
AKDNR,2016,A2012-72,358,5
AKDNR,2017,A2012-72,354,5
AKDNR,2017,A2012-72,355,5
AKDNR,2017,A2012-72,356,5
AKDNR,2017,A2012-72,357,5
AKDNR,2017,A2012-72,358,5
AKDNR,2016,A2012-73,324,5
AKDNR,2016,A2012-73,325,5
AKDNR,2016,A2012-73,326,5
AKDNR,2016,A2012-73,327,5
AKDNR,2016,A2012-73,328,5
AKDNR,2017,A2012-73,324,5
AKDNR,2017,A2012-73,325,5
AKDNR,2017,A2012-73,326,5
AKDNR,2017,A2012-73,327,5
AKDNR,2017,A2012-73,328,5
AKDNR,2016,A2012-74,330,5
AKDNR,2016,A2012-74,331,5
AKDNR,2016,A2012-74,332,5
AKDNR,2016,A2012-74,333,5
AKDNR,2016,A2012-74,334,5
AKDNR,2017,A2012-74,330,5
AKDNR,2017,A2012-74,331,5
AKDNR,2017,A2012-74,332,5
AKDNR,2017,A2012-74,333,5
AKDNR,2017,A2012-74,334,5
AKDNR,2016,A2012-75,336,5
AKDNR,2016,A2012-75,337,5
AKDNR,2016,A2012-75,338,5
AKDNR,2016,A2012-75,339,5
AKDNR,2016,A2012-75,340,5
AKDNR,2017,A2012-75,336,5
AKDNR,2017,A2012-75,337,5
AKDNR,2017,A2012-75,338,5
AKDNR,2017,A2012-75,339,5
AKDNR,2017,A2012-75,340,5
AKDNR,2016,A2012-76,342,5
AKDNR,2016,A2012-76,343,5
AKDNR,2016,A2012-76,344,5
AKDNR,2016,A2012-76,345,5
AKDNR,2016,A2012-76,346,5
AKDNR,2017,A2012-76,342,5
AKDNR,2017,A2012-76,343,5
AKDNR,2017,A2012-76,344,5
AKDNR,2017,A2012-76,345,5
AKDNR,2017,A2012-76,346,5
AKDNR,2016,A2012-77,360,5
AKDNR,2016,A2012-77,361,5
AKDNR,2016,A2012-77,362,5
AKDNR,2016,A2012-77,363,5
AKDNR,2016,A2012-77,364,5
AKDNR,2016,A2012-78,348,5
AKDNR,2016,A2012-78,349,5
AKDNR,2016,A2012-78,350,5
AKDNR,2016,A2012-78,351,5
AKDNR,2016,A2012-78,352,5
AKDNR,2017,A2012-78,348,5
AKDNR,2017,A2012-78,349,5
AKDNR,2017,A2012-78,350,5
AKDNR,2017,A2012-78,351,5
AKDNR,2017,A2012-78,352,5
AKDNR,2016,A2012-79,366,5
AKDNR,2017,A2012-79,366,5
AKDNR,2016,A2012-82,368,5
AKDNR,2016,A2012-82,369,5
AKDNR,2016,A2012-82,370,5
AKDNR,2016,A2012-82,371,5
AKDNR,2016,A2012-82,372,5
AKDNR,2017,A2012-82,368,5
AKDNR,2017,A2012-82,369,5
AKDNR,2017,A2012-82,370,5
AKDNR,2017,A2012-82,371,5
AKDNR,2017,A2012-82,372,5
AKDNR,2016,A2012-83,374,5
AKDNR,2016,A2012-83,375,5
AKDNR,2016,A2012-83,376,5
AKDNR,2016,A2012-83,377,5
AKDNR,2016,A2012-83,378,5
AKDNR,2017,A2012-83,374,5
AKDNR,2017,A2012-83,375,5
AKDNR,2017,A2012-83,376,5
AKDNR,2017,A2012-83,377,5
AKDNR,2017,A2012-83,378,5
AKDNR,2016,A2012-94,380,5
AKDNR,2017,A2012-94,380,5
AKDNR,2017,A2013-160,2282,9
AKDNR,2016,A2013-205,409,5
AKDNR,2016,A2013-205,410,5
AKDNR,2016,A2013-205,411,5
AKDNR,2016,A2013-205,412,5
AKDNR,2016,A2013-205,413,5
AKDNR,2017,A2013-205,409,5
AKDNR,2017,A2013-205,410,5
AKDNR,2017,A2013-205,411,5
AKDNR,2017,A2013-205,412,5
AKDNR,2017,A2013-205,413,5
AKDNR,2016,A2013-206,382,5
AKDNR,2016,A2013-206,383,5
AKDNR,2016,A2013-206,384,5
AKDNR,2016,A2013-206,385,5
AKDNR,2016,A2013-206,386,5
AKDNR,2017,A2013-206,382,5
AKDNR,2017,A2013-206,383,5
AKDNR,2017,A2013-206,384,5
AKDNR,2017,A2013-206,385,5
AKDNR,2017,A2013-206,386,5
AKDNR,2016,A2013-207,388,5
AKDNR,2016,A2013-207,389,5
AKDNR,2016,A2013-207,390,5
AKDNR,2017,A2013-207,388,5
AKDNR,2017,A2013-207,389,5
AKDNR,2017,A2013-207,390,5
AKDNR,2016,A2013-208,392,5
AKDNR,2016,A2013-208,393,5
AKDNR,2016,A2013-208,394,5
AKDNR,2016,A2013-208,395,5
AKDNR,2017,A2013-208,392,5
AKDNR,2017,A2013-208,393,5
AKDNR,2017,A2013-208,394,5
AKDNR,2017,A2013-208,395,5
AKDNR,2016,A2013-209,397,5
AKDNR,2017,A2013-209,397,5
AKDNR,2016,A2013-210,399,5
AKDNR,2017,A2013-210,399,5
AKDNR,2016,A2014-102,401,7
AKDNR,2017,A2014-102,401,7
AKDNR,2016,A2014-143,403,5
AKDNR,2016,A2014-143,404,5
AKDNR,2016,A2014-143,405,5
AKDNR,2017,A2014-143,403,5
AKDNR,2017,A2014-143,404,5
AKDNR,2017,A2014-143,405,5
AKDNR,2018,A2014-143,404,5
AKDNR,2017,A2015-116,2304,9
AKDNR,2016,A2016-53,1102,9
AKDNR,2016,A2016-53,1104,9
AKDNR,2016,A2016-53,2069,9
AKDNR,2016,A2016-96,1400,1
